,0.0,groupid,洗精煤,其他洗煤,型煤,焦炭,焦炉煤气,其他煤气,其他焦化产品,原油,汽油,煤油,柴油,燃料油,其他石油产品,天然气
,0.0,原煤,洗精煤,其他洗煤,型煤,焦炭,焦炉煤气,其他煤气,其他焦化产品,原油,汽油,煤油,柴油,燃料油,其他石油产品,天然气
,0.0,104 tn,104 tn,104 tn,104 tn,104 tn,108 cu.m,108 cu.m,104 tn,104 tn,104 tn,104 tn,104 tn,104 tn,104 tn,108 cu.m
Total Final Consumption,0.0,870.13,79.75,6.46,18.92,673.17,24.45867,8.57,110.54,2.86,517.35,402.74,568.19,631.3,881.91,41.86
"Farming, Forestry, Animal Husbandry, Fishery & Water Conservancy",1.0,2.67,0,0,0,0,0,0,0,0,17.8,0,13.79,0,0,0.01
Coal Mining and Dressing,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petroleum and Naturl Gas Extraction,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ferrous Metals Mining and Dressing,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nonferrous Metals Mining and Dressing,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nonmetal Minerals Mining and Dressing,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Minerals Mining and Dressing,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Logging and Transport of Wood and Bamboo,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Food Processing,9.0,9.90071687577055,0.0623777864685178,0.00505279624560031,0.0153899115276644,0,0,0,0,0,0.251702555268447,0,0.866201539730547,0.12869123783032,0.0552459494964239,0.0469292748433303
Food Production,10.0,5.06959097831605,0.452238951896754,0.0366327727806023,0,0,0,0,0,0,0.557341372380132,0,3.15744432224361,0.732980528511822,0.0220983797985696,0.563151298119964
Beverage Production,11.0,6.05877946188991,0.163741689479859,0.0132635901447008,0,0,0,0,0,0,0.11686190066035,0,0.754433599120154,0.25738247566064,0,0.258111011638317
Tobacco Processing,12.0,0,0,0,0,0,0,0.0248557692307692,0,0,0.0089893769738731,0,0,0,0,0
Textile Industry,13.0,32.0691373558634,1.52045854517012,0.123161908486508,0.0954778287296583,0,0,0,0,0,1.54617283950617,0,2.86871047566676,0.324525730180807,0.0331475696978543,0.211181736794987
Garments and Other Fiber Products,14.0,0,0.0467833398513883,0.00378959718420023,0.0118741941006254,0,0,0.00451923076923077,0,0,2.19340798162504,0.0654901960784314,2.54272064888644,0.061547983310153,0,0.0469292748433303
"Leather, Furs, Down and Related Products",15.0,12.2853676843861,0,0,0,0,0,0,0,0,0.341596325007178,0,0.158337915864724,0,0,0.0234646374216652
"Timber Processing, Bamboo, Cane, Palm & Straw Products",16.0,0.317953441148742,0.0155944466171294,0.00126319906140008,0,0,0,0,0,0,0.52138386448464,0,0.521583722848502,0.324525730180807,0,0.164252461951656
Furniture Manufacturing,17.0,1.61626332583944,0,0,0,0.061353445133066,0,0.00225961538461538,0,0,0.530373241458513,0,0.903457519934011,0,0,0.0703939122649955
Papermaking and Paper Products,18.0,1.25414968453115,1.43468908877591,0.116214313648807,0,0,0,0,0,0,1.03377835199541,0,1.46229722298598,4.67764673157163,0.0441967595971391,0.375434198746643
Printing and Record Medium Reproduction,19.0,30.3910497498006,0.0623777864685178,0.00505279624560031,0,0,0,0.00451923076923077,0,0,1.61808785529716,0.0327450980392157,1.00591146549354,0.369287899860918,0,0.0703939122649955
"Cultural, Educational and Sports Articles",20.0,0.945028283414316,0,0,0,0.0204511483776887,0,0,0,0,0.52138386448464,0,0.316675831729447,0.156667593880389,0,0.0938585496866607
Petroleum Processing and Coking,21.0,2.08436144753064,0.28070003910833,0.0227375831052014,0,0,0,0,0,2.86,0.188776916451335,0,0.493641737695903,12.5334075104312,416.322426215151,0.117323187108326
Raw Chemical Materials and Chemical Products,22.0,121.943976720574,0.70954732107939,0.0574755572937036,0.158578352782399,0.102255741888443,0.833137460650577,0.0158173076923077,96.9914537712895,0,1.92372667240884,1.01509803921569,3.61383007973605,7.01647009735744,337.022390307984,8.16569382273948
Medical and Pharmaceutical Products,23.0,41.280955109145,0.0935666797027767,0.00757919436840047,0.00621382615011543,0,0,0,0,0,0.287660063163939,0,1.21081935661259,0.0951196105702364,0.0110491898992848,0.187717099373321
Chemical Fiber,24.0,9.7682362752919,0.00779722330856472,0.000631599530700039,0.00460376593308147,0,0,0,0,0,0.0449468848693655,0,0.139709925762991,0.0951196105702364,0,0.0469292748433303
Rubber Products,25.0,1.51027884545652,0.0623777864685178,0.00505279624560031,0.100238827105809,0.286316077287641,0,0,0,0,0.629256388171117,0.0327450980392157,0.512269727797635,0.35809735744089,0,0.305040286481647
Plastic Products,26.0,17.8937131046486,0.584791748142354,0.0473699648025029,0.0512200406543928,0,0,0,0,0,1.80686477174849,0.196470588235294,2.27261479241133,1.14143532684284,0.751344913151365,0.187717099373321
