,监测时间,一氧化碳,二氧化氮,臭氧,PM10,PM2.5,行政区名称,主要污染物,空气质量情况,二氧化硫,AQI
63,2020-12-31,0.8,44,46,62,32,上海市,颗粒物(PM10),良,9,56
596,2020-12-30,0.6,23,56,52,19,上海市,颗粒物(PM10),良,8,51
828,2020-12-29,0.7,65,48,30,20,上海市,二氧化氮,良,5,82
1251,2020-12-28,1.1,76,70,66,87,上海市,细颗粒物(PM2.5),轻度污染,8,115
1541,2020-12-27,1.2,85,27,73,71,上海市,二氧化氮,轻度污染,10,103
1852,2020-12-26,0.5,59,47,35,16,上海市,二氧化氮,良,5,74
2486,2020-12-25,0.6,66,74,79,34,上海市,二氧化氮,良,7,83
2598,2020-12-24,1.1,74,85,93,91,上海市,细颗粒物(PM2.5),轻度污染,10,120
2998,2020-12-23,0.7,84,33,50,48,上海市,二氧化氮,轻度污染,7,102
3459,2020-12-22,0.9,96,51,60,61,上海市,二氧化氮,轻度污染,9,108
3976,2020-12-21,0.9,80,59,49,41,上海市,二氧化氮,良,9,100
4123,2020-12-20,0.5,40,62,28,16,上海市,—,优,5,50
4473,2020-12-19,0.7,41,69,44,41,上海市,细颗粒物(PM2.5),良,6,58
4859,2020-12-18,0.8,49,56,47,51,上海市,细颗粒物(PM2.5),良,8,70
5137,2020-12-17,0.7,48,65,42,34,上海市,二氧化氮,良,7,60
5657,2020-12-16,0.8,43,55,52,43,上海市,细颗粒物(PM2.5),良,10,60
6144,2020-12-15,0.7,33,55,30,21,上海市,—,优,6,42
6482,2020-12-14,0.6,27,52,23,16,上海市,—,优,5,34
6657,2020-12-13,1.3,71,92,107,135,上海市,细颗粒物(PM2.5),中度污染,9,179
6989,2020-12-12,1.5,77,76,124,156,上海市,细颗粒物(PM2.5),重度污染,11,206
7680,2020-12-11,1.2,62,14,75,90,上海市,细颗粒物(PM2.5),轻度污染,6,119
7751,2020-12-10,0.9,73,14,69,66,上海市,二氧化氮,良,8,92
8086,2020-12-09,0.5,53,61,30,19,上海市,二氧化氮,良,6,67
8716,2020-12-08,0.7,36,73,49,49,上海市,细颗粒物(PM2.5),良,8,68
9093,2020-12-07,0.7,48,66,40,40,上海市,二氧化氮,良,6,60
9171,2020-12-06,0.6,63,59,38,25,上海市,二氧化氮,良,6,79
9598,2020-12-05,0.6,52,59,36,27,上海市,二氧化氮,良,6,65
10103,2020-12-04,0.6,42,57,38,30,上海市,二氧化氮,良,8,53
10575,2020-12-03,0.8,34,62,51,51,上海市,细颗粒物(PM2.5),良,7,70
10887,2020-12-02,0.4,37,52,29,15,上海市,—,优,5,47
10994,2020-12-01,0.5,32,70,32,23,上海市,—,优,6,40
11650,2020-11-30,0.7,35,81,59,56,上海市,细颗粒物(PM2.5),良,8,77
11802,2020-11-29,0.6,32,67,35,28,上海市,—,优,7,40
12393,2020-11-28,0.5,27,63,34,23,上海市,—,优,6,34
12601,2020-11-27,0.7,30,51,25,26,上海市,—,优,5,38
12882,2020-11-26,0.9,48,36,14,14,上海市,二氧化氮,良,5,60
13540,2020-11-25,0.6,42,41,12,12,上海市,二氧化氮,良,5,53
13783,2020-11-24,0.5,35,47,16,15,上海市,—,优,5,44
14198,2020-11-23,0.5,27,56,32,22,上海市,—,优,5,34
14421,2020-11-22,0.5,29,48,15,12,上海市,—,优,5,37
14950,2020-11-21,0.5,30,61,33,12,上海市,—,优,5,38
15101,2020-11-20,0.8,30,67,34,34,上海市,—,优,6,49
15526,2020-11-19,1.2,48,60,51,40,上海市,二氧化氮,良,9,60
15895,2020-11-18,0.5,24,77,37,13,上海市,—,优,8,39
16269,2020-11-17,0.5,28,67,29,13,上海市,—,优,6,35
16622,2020-11-16,0.6,44,74,37,21,上海市,二氧化氮,良,6,55
16984,2020-11-15,0.6,58,93,46,31,上海市,二氧化氮,良,6,73
17245,2020-11-14,0.6,52,115,47,27,上海市,二氧化氮,良,6,65
17570,2020-11-13,0.5,48,98,27,17,上海市,二氧化氮,良,6,60
18048,2020-11-12,0.5,51,96,31,15,上海市,二氧化氮,良,6,64
18309,2020-11-11,0.6,55,92,36,17,上海市,二氧化氮,良,6,69
18904,2020-11-10,0.6,55,95,46,18,上海市,二氧化氮,良,7,69
19116,2020-11-09,0.5,33,87,68,17,上海市,颗粒物(PM10),良,7,59
19418,2020-11-08,0.7,41,105,120,61,上海市,颗粒物(PM10),良,9,85
19860,2020-11-07,1.3,97,129,106,87,上海市,细颗粒物(PM2.5),轻度污染,13,115
20222,2020-11-06,0.7,66,93,54,31,上海市,二氧化氮,良,8,83
20677,2020-11-05,0.4,38,75,30,10,上海市,—,优,5,48
21195,2020-11-04,0.5,34,75,35,12,上海市,—,优,6,43
21311,2020-11-03,0.6,31,84,67,26,上海市,颗粒物(PM10),良,7,59
21686,2020-11-02,0.8,41,119,85,55,上海市,细颗粒物(PM2.5),良,7,75
22061,2020-11-01,0.7,58,86,54,36,上海市,二氧化氮,良,7,73
22486,2020-10-31,0.5,53,90,42,18,上海市,二氧化氮,良,7,67
23029,2020-10-30,0.5,38,89,35,15,上海市,—,优,6,48
23187,2020-10-29,0.5,29,81,36,15,上海市,—,优,6,41
23584,2020-10-28,0.6,41,87,41,24,上海市,二氧化氮,良,6,52
23987,2020-10-27,0.6,40,95,26,20,上海市,—,优,6,50
24260,2020-10-26,0.5,45,87,32,16,上海市,二氧化氮,良,6,57
24845,2020-10-25,0.5,46,95,37,16,上海市,二氧化氮,良,6,58
24966,2020-10-24,0.6,41,88,42,19,上海市,二氧化氮,良,8,52
25319,2020-10-23,0.6,41,97,111,25,上海市,颗粒物(PM10),良,9,81
25789,2020-10-22,1.1,59,105,81,69,上海市,细颗粒物(PM2.5),良,11,93
26350,2020-10-21,0.9,83,54,54,45,上海市,二氧化氮,轻度污染,7,102
26416,2020-10-20,0.6,52,128,40,20,上海市,臭氧8小时,良,6,74
26753,2020-10-19,0.5,34,99,26,14,上海市,—,优,6,50
