,族群大小,坐标
0,18,"(3.89, 86.33)"
1,8,"(2.88, 186.12)"
2,13,"(9.31, 65.85)"
3,20,"(8.65, 189.6)"
4,25,"(10.36, 281.16)"
5,16,"(13.25, 227.19)"
6,10,"(15.5, 81.2)"
7,17,"(15.65, 313.06)"
8,19,"(18.32, 235.63)"
9,12,"(30.67, 60.75)"
10,19,"(32.42, 39.84)"
11,47,"(34.6, 334.0)"
12,8,"(34.88, 169.88)"
13,9,"(39.11, 30.44)"
14,8,"(42.12, 197.5)"
15,13,"(52.0, 111.0)"
16,65,"(57.43, 96.8)"
17,50,"(59.26, 232.74)"
18,20,"(59.55, 71.75)"
19,16,"(62.19, 215.12)"
20,32,"(65.59, 56.41)"
21,8,"(67.75, 154.38)"
22,9,"(68.11, 176.22)"
23,32,"(70.69, 144.53)"
24,12,"(72.33, 45.5)"
25,11,"(76.36, 248.64)"
26,30,"(81.17, 159.57)"
27,21,"(80.9, 6.95)"
28,36,"(87.89, 45.25)"
29,8,"(85.88, 203.12)"
30,13,"(90.85, 252.85)"
31,19,"(96.58, 262.16)"
32,24,"(100.08, 212.75)"
33,8,"(99.5, 221.0)"
34,9,"(101.22, 229.22)"
35,11,"(104.27, 120.36)"
36,8,"(104.5, 84.0)"
37,11,"(108.55, 108.18)"
38,20,"(111.25, 295.25)"
39,23,"(111.7, 342.65)"
40,30,"(122.33, 147.17)"
41,11,"(122.64, 244.91)"
42,28,"(130.75, 66.0)"
43,10,"(132.3, 129.8)"
44,12,"(133.92, 96.17)"
45,15,"(142.07, 241.87)"
46,18,"(142.72, 203.72)"
47,32,"(144.62, 252.97)"
48,10,"(147.0, 59.5)"
49,34,"(153.65, 297.79)"
50,25,"(160.32, 277.4)"
51,9,"(164.67, 197.0)"
52,23,"(166.0, 82.7)"
53,9,"(176.44, 164.11)"
54,8,"(176.38, 173.25)"
55,11,"(178.36, 184.0)"
56,9,"(180.33, 106.11)"
57,10,"(183.5, 114.2)"
58,9,"(182.89, 134.44)"
59,12,"(183.42, 177.75)"
60,8,"(183.88, 16.88)"
61,53,"(193.45, 115.53)"
62,10,"(193.0, 101.5)"
63,10,"(193.8, 132.0)"
64,34,"(197.56, 23.56)"
65,10,"(197.0, 235.5)"
66,8,"(198.12, 345.88)"
67,46,"(202.35, 209.72)"
68,27,"(207.19, 143.48)"
69,12,"(205.83, 190.75)"
70,8,"(204.88, 325.88)"
71,19,"(211.26, 203.84)"
72,19,"(213.37, 43.0)"
73,21,"(213.24, 56.33)"
74,12,"(215.0, 239.0)"
75,14,"(215.57, 84.93)"
76,19,"(217.37, 96.05)"
77,15,"(218.13, 254.87)"
78,14,"(218.5, 139.29)"
79,17,"(223.71, 203.88)"
80,35,"(225.49, 221.2)"
81,9,"(226.33, 251.11)"
82,22,"(229.41, 180.23)"
83,14,"(230.57, 206.21)"
84,8,"(231.75, 306.38)"
85,14,"(234.5, 248.29)"
86,18,"(238.33, 50.94)"
87,68,"(240.49, 307.15)"
88,16,"(242.38, 195.31)"
89,35,"(245.74, 57.89)"
90,8,"(244.88, 235.75)"
91,11,"(246.55, 122.64)"
92,8,"(247.25, 39.38)"
93,30,"(255.2, 84.27)"
94,10,"(255.8, 191.6)"
95,11,"(257.45, 319.82)"
96,10,"(258.8, 329.4)"
97,13,"(262.31, 105.08)"
98,34,"(265.56, 131.91)"
99,10,"(261.8, 151.3)"
100,15,"(264.33, 119.33)"
101,33,"(269.45, 184.03)"
102,8,"(269.5, 284.5)"
103,16,"(272.69, 21.75)"
104,8,"(273.5, 99.75)"
105,8,"(273.75, 106.38)"
106,26,"(275.19, 247.88)"
107,15,"(281.07, 299.87)"
108,10,"(284.2, 146.7)"
109,18,"(287.83, 80.61)"
110,29,"(294.03, 192.55)"
111,17,"(295.47, 229.71)"
112,15,"(298.0, 131.6)"
113,13,"(299.62, 207.46)"
114,32,"(302.88, 304.69)"
115,8,"(303.0, 126.88)"
116,13,"(304.62, 108.54)"
117,23,"(311.17, 185.7)"
118,11,"(310.82, 231.09)"
119,9,"(312.67, 213.89)"
120,13,"(316.0, 346.38)"
121,25,"(317.88, 336.32)"
122,20,"(319.25, 251.3)"
123,17,"(321.18, 308.12)"
124,16,"(321.62, 62.75)"
125,17,"(321.71, 139.41)"
126,15,"(325.53, 341.07)"
127,20,"(327.7, 149.95)"
128,28,"(330.0, 26.46)"
129,19,"(327.37, 276.47)"
130,30,"(334.07, 163.27)"
131,26,"(334.19, 307.23)"
132,12,"(333.33, 342.08)"
133,9,"(333.44, 226.11)"
134,12,"(334.67, 195.58)"
135,18,"(336.89, 145.72)"
136,20,"(339.65, 218.75)"
137,20,"(343.55, 35.2)"
138,10,"(342.6, 133.1)"
139,18,"(344.28, 164.83)"
140,31,"(345.65, 308.03)"
141,13,"(346.15, 221.62)"
142,10,"(347.7, 136.2)"
143,13,"(348.38, 284.62)"
144,30,"(351.7, 154.27)"
145,59,"(354.24, 214.12)"
146,35,"(353.83, 272.89)"
147,10,"(356.2, 250.5)"
148,12,"(357.33, 244.25)"
149,8,"(357.88, 46.12)"
150,13,"(359.0, 95.0)"
151,17,"(362.18, 83.53)"
152,9,"(361.67, 276.89)"
153,22,"(363.23, 204.77)"
154,10,"(363.2, 285.4)"
155,8,"(366.75, 260.0)"
156,11,"(369.82, 76.55)"
157,10,"(370.0, 267.5)"
158,8,"(372.75, 64.75)"
159,12,"(375.08, 52.17)"
160,8,"(376.75, 237.12)"
161,10,"(379.6, 299.3)"
162,10,"(384.2, 63.3)"
163,9,"(388.89, 37.44)"
164,29,"(392.76, 158.1)"
165,9,"(392.67, 241.67)"
166,29,"(397.72, 287.66)"
167,20,"(398.7, 194.1)"
168,10,"(399.9, 99.2)"
169,13,"(403.0, 110.0)"
170,15,"(405.33, 256.87)"
171,10,"(409.6, 253.3)"
172,27,"(413.56, 298.89)"
173,13,"(415.0, 160.08)"
174,12,"(415.25, 83.58)"
175,13,"(416.85, 260.0)"
176,17,"(419.59, 326.53)"
177,8,"(419.12, 275.88)"
178,34,"(423.0, 2.26)"
179,8,"(421.75, 247.62)"
180,12,"(423.42, 172.42)"
181,17,"(426.12, 267.88)"
182,13,"(428.85, 44.46)"
183,8,"(435.38, 192.25)"
184,33,"(437.67, 234.76)"
185,8,"(437.0, 63.75)"
186,11,"(439.27, 69.55)"
187,33,"(439.58, 102.55)"
188,10,"(441.2, 119.7)"
189,13,"(441.38, 333.62)"
190,11,"(443.0, 227.0)"
191,9,"(443.22, 145.78)"
192,9,"(444.11, 199.67)"
193,8,"(446.12, 256.0)"
194,12,"(451.17, 308.67)"
195,11,"(452.73, 18.64)"
196,12,"(452.33, 235.5)"
197,12,"(453.5, 5.33)"
198,17,"(457.41, 254.12)"
199,13,"(459.77, 290.08)"
200,11,"(460.64, 204.55)"
201,15,"(461.6, 97.4)"
202,15,"(462.6, 153.6)"
203,23,"(472.04, 242.52)"
204,39,"(473.64, 90.97)"
205,12,"(472.17, 236.33)"
206,29,"(472.55, 328.55)"
207,12,"(475.5, 259.5)"
208,28,"(478.79, 25.43)"
209,30,"(482.3, 231.73)"
210,14,"(481.79, 279.21)"
211,10,"(482.0, 69.5)"
212,11,"(486.73, 263.55)"
213,12,"(487.25, 66.25)"
214,20,"(490.15, 168.2)"
215,9,"(494.44, 285.22)"
216,9,"(495.22, 197.89)"
217,14,"(499.5, 86.71)"
218,24,"(498.96, 318.25)"
219,47,"(505.26, 245.74)"
220,42,"(509.31, 81.62)"
221,12,"(508.5, 44.25)"
222,21,"(509.9, 115.24)"
223,44,"(514.02, 148.86)"
224,28,"(511.39, 266.14)"
225,24,"(513.79, 290.12)"
226,15,"(516.27, 220.53)"
227,40,"(519.7, 227.22)"
228,36,"(522.67, 165.58)"
229,10,"(521.8, 122.4)"
230,21,"(523.95, 192.81)"
231,11,"(525.64, 116.18)"
232,10,"(525.0, 202.5)"
233,11,"(524.45, 244.82)"
234,8,"(525.75, 210.38)"
235,29,"(527.52, 253.45)"
236,12,"(525.75, 326.25)"
237,24,"(531.67, 91.54)"
238,9,"(530.22, 278.67)"
239,72,"(538.56, 139.35)"
240,8,"(534.88, 124.75)"
241,84,"(539.32, 17.71)"
242,10,"(541.2, 120.0)"
243,17,"(545.35, 262.53)"
244,33,"(547.55, 101.58)"
245,41,"(549.9, 234.71)"
246,36,"(551.81, 305.19)"
247,14,"(549.71, 153.5)"
248,19,"(551.53, 131.26)"
249,10,"(550.3, 181.1)"
250,18,"(554.17, 162.0)"
251,9,"(555.33, 34.11)"
252,143,"(562.53, 139.64)"
253,9,"(556.67, 188.44)"
254,15,"(558.07, 220.6)"
255,9,"(559.89, 162.22)"
256,9,"(564.22, 188.67)"
257,12,"(564.5, 299.5)"
258,37,"(566.27, 45.08)"
259,12,"(566.92, 168.67)"
260,11,"(566.27, 256.64)"
261,20,"(567.1, 266.8)"
